code,name,date,open,high,low,close,volume,amount,turn,pctChg,isST,peTTM,pbMRQ,psTTM,pcfNcfTTM,isTrading
sh.600000,浦发银行,2019-12-02,9.16365632,9.17131824,9.05638944,9.09469904,22163020.0,263131788.0,0.0789,-0.3359,0,5.706294,0.725606,1.823387,-5.779751,1
sh.600000,浦发银行,2019-12-03,9.04872752,9.1176848,9.01807984,9.08703712,19557865.0,231361399.0,0.0696,-0.0842,0,5.701487,0.724995,1.821851,-5.774882,1
sh.600000,浦发银行,2019-12-04,9.02574176,9.06405136,8.9644464,9.002756,24734662.0,290465763.0,0.088,-0.9275,0,5.648606,0.718271,1.804954,-5.721321,1
sh.600000,浦发银行,2019-12-05,9.03340368,9.11002288,9.01041792,9.11002288,24976130.0,295963968.0,0.0889,1.1915,0,5.715909,0.726829,1.82646,-5.78949,1
sh.600000,浦发银行,2019-12-06,9.13300864,9.1559944,9.06405136,9.13300864,20654438.0,245635919.0,0.0735,0.2523,0,5.730331,0.728663,1.831068,-5.804097,1
sh.600000,浦发银行,2019-12-09,9.1176848,9.14067056,9.0793752,9.1176848,17349258.0,206211639.0,0.0617,-0.1678,0,5.720716,0.72744,1.827996,-5.794359,1
sh.600000,浦发银行,2019-12-10,9.10236096,9.12534672,9.08703712,9.08703712,15324640.0,181988682.0,0.0545,-0.3361,0,5.701487,0.724995,1.821851,-5.774882,1
sh.600000,浦发银行,2019-12-11,9.10236096,9.18664208,9.0793752,9.17898016,33409045.0,398582360.0,0.1189,1.0118,0,5.759175,0.73233,1.840285,-5.833313,1
sh.600000,浦发银行,2019-12-12,9.18664208,9.18664208,9.10236096,9.1176848,27021203.0,321917933.0,0.0961,-0.6678,0,5.720716,0.72744,1.827996,-5.794359,1
sh.600000,浦发银行,2019-12-13,9.17898016,9.28624704,9.14833248,9.28624704,59520554.0,716034787.0,0.2118,1.8487,0,5.826477,0.740888,1.861791,-5.901482,1
sh.600000,浦发银行,2019-12-16,9.28624704,9.3092328,9.194304,9.29390896,37971632.0,458170277.0,0.1351,0.0825,0,5.831284,0.7415,1.863327,-5.906351,1
sh.600000,浦发银行,2019-12-17,9.32455664,9.58506192,9.2709232,9.49311888,57435605.0,707895681.0,0.2044,2.1434,0,5.956275,0.757393,1.903266,-6.03295,1
sh.600000,浦发银行,2019-12-18,9.47013312,9.5774,9.45480928,9.5007808,34565268.0,428827229.0,0.123,0.0807,0,5.961082,0.758005,1.904802,-6.037819,1
sh.600000,浦发银行,2019-12-19,9.5007808,9.5774,9.48545696,9.50844272,23789907.0,295686647.0,0.0847,0.0806,0,5.96589,0.758616,1.906338,-6.042689,1
sh.600000,浦发银行,2019-12-20,9.50844272,9.6157096,9.48545696,9.51610464,40150148.0,500592355.0,0.1429,0.0806,0,5.970697,0.759227,1.907874,-6.047558,1
sh.600000,浦发银行,2019-12-23,9.54675232,9.54675232,9.32455664,9.3475424,37033891.0,455979055.0,0.1318,-1.7713,0,5.864936,0.745779,1.87408,-5.940435,1
sh.600000,浦发银行,2019-12-24,9.35520432,9.41649968,9.3475424,9.40883776,21671029.0,265496459.0,0.0771,0.6557,0,5.903394,0.750669,1.886369,-5.979389,1
sh.600000,浦发银行,2019-12-25,9.41649968,9.41649968,9.3475424,9.37819008,13678175.0,167407896.0,0.0487,-0.3257,0,5.884165,0.748224,1.880224,-5.959912,1
sh.600000,浦发银行,2019-12-26,9.39351392,9.43948544,9.37052816,9.41649968,15739054.0,193083033.0,0.056,0.4085,0,5.908202,0.75128,1.887905,-5.984258,1
sh.600000,浦发银行,2019-12-27,9.385852,9.52376656,9.385852,9.43948544,27932109.0,344832499.0,0.0994,0.2441,0,5.922624,0.753114,1.892513,-5.998866,1
sh.600000,浦发银行,2019-12-30,9.40117584,9.47013312,9.28624704,9.45480928,41051555.0,503090483.0,0.1461,0.1623,0,5.932238,0.754337,1.895585,-6.008604,1
sh.600000,浦发银行,2019-12-31,9.43948544,9.48545696,9.35520432,9.47779504,31953628.0,392736236.0,0.1137,0.2431,0,5.94666,0.756171,1.900194,-6.023212,1
sh.600004,白云机场,2019-12-02,16.08574443,16.49918556,16.02805497,16.16266371,15640314.0,263939669.0,0.7558,0.6587,0,44.40232,2.195407,4.473103,-21.964094,1
sh.600004,白云机场,2019-12-03,16.16266371,16.4414961,15.93190587,16.41265137,12435146.0,208915520.0,0.6009,1.5467,0,45.08909,2.229363,4.542288,-22.303812,1
sh.600004,白云机场,2019-12-04,16.345347,16.47995574,16.26842772,16.42226628,11193274.0,190795211.0,0.5409,0.0586,0,45.115504,2.230669,4.544949,-22.316878,1
sh.600004,白云机场,2019-12-05,16.5376452,17.02800561,16.45111101,16.9222416,23472321.0,410087706.0,1.1343,3.0445,0,46.489044,2.298582,4.68332,-22.996315,1
sh.600004,白云机场,2019-12-06,17.0183907,17.22991872,16.77801795,17.12415471,14180777.0,251290221.0,0.6853,1.1932,0,47.043743,2.326008,4.7392,-23.270702,1
sh.600004,白云机场,2019-12-09,17.12415471,17.23953363,16.78763286,16.90301178,10541458.0,186037436.0,0.5094,-1.2914,0,46.436216,2.29597,4.677998,-22.970182,1
sh.600004,白云机场,2019-12-10,16.8260925,16.9222416,16.64340921,16.71071358,11203387.0,194800929.0,0.5414,-1.1377,0,45.907931,2.269849,4.624778,-22.708861,1
sh.600004,白云机场,2019-12-11,16.76840304,16.97031615,16.65302412,16.9222416,9173678.0,160229175.0,0.4433,1.2658,0,46.489044,2.298582,4.68332,-22.996315,1
sh.600004,白云机场,2019-12-12,16.91262669,16.93185651,16.59533466,16.61456448,9235747.0,160331294.0,0.4463,-1.8182,0,45.643789,2.256789,4.598169,-22.5782,1
sh.600004,白云机场,2019-12-13,16.77801795,16.80686268,16.65302412,16.77801795,15556430.0,270768581.0,0.7518,0.9838,0,46.092831,2.278992,4.643405,-22.800323,1
sh.600004,白云机场,2019-12-16,16.8260925,17.47990638,16.75878813,17.34529764,28601175.0,509157878.0,1.3822,3.3811,0,47.65127,2.356046,4.800403,-23.571222,1
sh.600004,白云机场,2019-12-17,17.39337219,17.66258967,17.15299944,17.57605548,19414753.0,353039353.0,0.9382,1.3304,0,48.285212,2.387391,4.864266,-23.884809,1
sh.600004,白云机场,2019-12-18,17.4991362,17.68181949,17.36452746,17.37414237,11053482.0,201311530.0,0.5342,-1.1488,0,47.730513,2.359964,4.808386,-23.610421,1
sh.600004,白云机场,2019-12-19,17.31645291,17.62413003,17.306838,17.45106165,7982765.0,145164838.0,0.3858,0.4427,0,47.941827,2.370412,4.829674,-23.714949,1
sh.600004,白云机场,2019-12-20,17.4991362,17.51836602,17.20107399,17.43183183,8548440.0,154357490.0,0.4131,-0.1102,0,47.888998,2.3678,4.824352,-23.688817,1
sh.600004,白云机场,2019-12-23,17.35491255,17.35491255,16.99916088,17.06646525,12052936.0,215219322.0,0.5825,-2.096,0,46.885258,2.318172,4.723235,-23.192306,1
sh.600004,白云机场,2019-12-24,17.05685034,17.08569507,16.83570741,17.08569507,7163237.0,126221457.0,0.3462,0.1127,0,46.938086,2.320784,4.728557,-23.218438,1
sh.600004,白云机场,2019-12-25,17.03762052,17.07608016,16.90301178,16.97993106,6108911.0,107776699.0,0.2952,-0.619,0,46.647529,2.306418,4.699286,-23.074711,1
sh.600004,白云机场,2019-12-26,16.97031615,17.12415471,16.9222416,17.06646525,6965681.0,123205240.0,0.3366,0.5096,0,46.885258,2.318172,4.723235,-23.192306,1
sh.600004,白云机场,2019-12-27,17.08569507,17.16261435,16.8260925,16.95108633,11884928.0,209959920.0,0.5743,-0.6761,0,46.568287,2.3025,4.691303,-23.035513,1
sh.600004,白云机场,2019-12-30,16.73955831,17.10492489,16.51841538,17.10492489,13506035.0,236541161.0,0.6527,0.9076,0,46.990914,2.323396,4.733878,-23.24457,1
sh.600004,白云机场,2019-12-31,17.08569507,17.22991872,16.73955831,16.77801795,16125231.0,283534549.0,0.7793,-1.9112,0,46.092831,2.278992,4.643405,-22.800323,1
sh.600006,东风股份,2019-12-02,4.18131882,4.31496828,4.18131882,4.24814355,10754632.0,47906721.0,0.5377,1.3667,0,18.852595,1.217968,0.588626,-119.094145,1
sh.600006,东风股份,2019-12-03,4.22905077,4.36270023,4.21950438,4.32451467,11951022.0,53613154.0,0.5976,1.7978,0,19.191518,1.239864,0.599208,-121.235163,1
sh.600006,东风股份,2019-12-04,4.2958755,4.33406106,4.24814355,4.26723633,8459924.0,37984454.0,0.423,-1.3245,0,18.937326,1.223442,0.591272,-119.629399,1
sh.600006,东风股份,2019-12-05,4.28632911,4.32451467,4.26723633,4.30542189,7704461.0,34665969.0,0.3852,0.8949,0,19.106787,1.23439,0.596563,-120.699908,1
sh.600006,东风股份,2019-12-06,4.30542189,4.31496828,4.22905077,4.2958755,6035500.0,26988510.0,0.3018,-0.2217,0,19.064422,1.231653,0.59524,-120.432281,1
sh.600006,东风股份,2019-12-09,4.28632911,4.2958755,4.24814355,4.27678272,5031301.0,22527951.0,0.2516,-0.4444,0,18.979691,1.226179,0.592594,-119.897027,1
sh.600006,东风股份,2019-12-10,4.26723633,4.32451467,4.25768994,4.31496828,6498534.0,29294194.0,0.3249,0.8929,0,19.149153,1.237127,0.597885,-120.967536,1
sh.600006,东风股份,2019-12-11,4.31496828,4.41997857,4.27678272,4.35315384,11932879.0,54416053.0,0.5966,0.885,0,19.318614,1.248075,0.603176,-122.038045,1
sh.600006,东风股份,2019-12-12,4.37224662,4.55362803,4.36270023,4.44861774,21833143.0,101476557.0,1.0917,2.193,0,19.742268,1.275445,0.616404,-124.714318,1
sh.600006,东风股份,2019-12-13,4.41043218,4.41997857,4.35315384,4.3913394,15654643.0,71861954.0,0.7827,-1.2876,0,19.488076,1.259023,0.608467,-123.108554,1
sh.600006,东风股份,2019-12-16,4.3913394,4.3913394,4.31496828,4.38179301,12233812.0,55767761.0,0.6117,-0.2174,0,19.44571,1.256286,0.607145,-122.840927,1
sh.600006,东风股份,2019-12-17,4.37224662,4.42952496,4.35315384,4.41043218,14951686.0,68973567.0,0.7476,0.6536,0,19.572806,1.264497,0.611113,-123.643809,1
sh.600006,东风股份,2019-12-18,4.42952496,4.49634969,4.40088579,4.46771052,19131679.0,89094854.0,0.9566,1.2987,0,19.826999,1.280919,0.619049,-125.249572,1
sh.600006,东风股份,2019-12-19,4.42952496,4.44861774,4.40088579,4.41997857,10682438.0,49500168.0,0.5341,-1.0684,0,19.615172,1.267234,0.612436,-123.911436,1
sh.600006,东风股份,2019-12-20,4.42952496,4.55362803,4.41043218,4.52498886,21950723.0,103205463.0,1.0975,2.3758,0,20.081191,1.297341,0.626986,-126.855336,1
sh.600006,东风股份,2019-12-23,4.54408164,4.57272081,4.3913394,4.40088579,17154538.0,80892990.0,0.8577,-2.7426,0,19.530441,1.26176,0.60979,-123.376181,1
sh.600006,东风股份,2019-12-24,4.36270023,4.45816413,4.34360745,4.41997857,10739236.0,49488176.0,0.537,0.4338,0,19.615172,1.267234,0.612436,-123.911436,1
sh.600006,东风股份,2019-12-25,4.42952496,4.51544247,4.38179301,4.41997857,10493504.0,48779959.0,0.5247,0.0,0,19.615172,1.267234,0.612436,-123.911436,1
sh.600006,东风股份,2019-12-26,4.40088579,4.41997857,4.34360745,4.3913394,11723238.0,53758671.0,0.5862,-0.648,0,19.488076,1.259023,0.608467,-123.108554,1
sh.600006,东风股份,2019-12-27,4.3913394,4.42952496,4.35315384,4.35315384,10896983.0,50178153.0,0.5448,-0.8696,0,19.318614,1.248075,0.603176,-122.038045,1
sh.600006,东风股份,2019-12-30,4.34360745,4.38179301,4.25768994,4.33406106,12988653.0,58853793.0,0.6494,-0.4386,0,19.233883,1.242601,0.600531,-121.50279,1
sh.600006,东风股份,2019-12-31,4.38179301,4.38179301,4.34360745,4.37224662,6867800.0,31382329.0,0.3434,0.8811,0,19.403345,1.253549,0.605822,-122.5733,1
sh.600007,中国国贸,2019-12-02,12.9427908,13.1406928,12.86363,12.9823712,1608170.0,26457443.0,0.1597,0.6753,0,17.88446,2.251719,4.807311,31.250768,1
sh.600007,中国国贸,2019-12-03,13.05361592,13.25151792,12.91904256,13.21193752,968487.0,16081495.0,0.0961,1.7683,0,18.20071,2.291536,4.892318,31.803373,1
sh.600007,中国国贸,2019-12-04,13.2198536,13.2198536,12.97445512,13.17235712,1452527.0,24016257.0,0.1442,-0.2996,0,18.146184,2.284671,4.877662,31.708097,1
sh.600007,中国国贸,2019-12-05,13.11694456,13.26735008,13.06944808,13.21193752,540945.0,9027262.0,0.0537,0.3005,0,18.20071,2.291536,4.892318,31.803373,1
sh.600007,中国国贸,2019-12-06,13.16444104,13.35442696,13.15652496,13.35442696,710796.0,11908683.0,0.0706,1.0785,0,18.397003,2.31625,4.945081,32.14637,1
sh.600007,中国国贸,2019-12-09,13.3385948,13.7343988,13.24360184,13.66315408,1188909.0,20447579.0,0.118,2.3118,0,18.822304,2.369797,5.059401,32.889528,1
sh.600007,中国国贸,2019-12-10,13.75814704,13.87688824,13.59982544,13.76606312,1021381.0,17731726.0,0.1014,0.7532,0,18.964071,2.387646,5.097508,33.137248,1
sh.600007,中国国贸,2019-12-11,13.84522392,14.0906224,13.74231488,14.01937768,1567101.0,27706198.0,0.1556,1.8401,0,19.313036,2.431582,5.191309,33.747019,1
sh.600007,中国国贸,2019-12-12,14.06687416,14.24102792,13.94813296,14.14603496,1302027.0,23283583.0,0.1293,0.9035,0,19.487518,2.453549,5.23821,34.051904,1
sh.600007,中国国贸,2019-12-13,14.16186712,14.39143344,14.12228672,14.24102792,1378305.0,24757035.0,0.1368,0.6715,0,19.61838,2.470025,5.273385,34.280569,1
sh.600007,中国国贸,2019-12-16,14.3676852,14.38351736,14.07479024,14.1697832,972203.0,17420034.0,0.0965,-0.5003,0,19.520234,2.457668,5.247004,34.10907,1
sh.600007,中国国贸,2019-12-17,14.20144752,14.2093636,13.90063648,14.04312592,1501873.0,26739043.0,0.1491,-0.8939,0,19.345751,2.435701,5.200103,33.804185,1
sh.600007,中国国贸,2019-12-18,14.03520984,14.16186712,13.94813296,14.03520984,1048300.0,18629952.0,0.1041,-0.0564,0,19.334846,2.434328,5.197172,33.785129,1
sh.600007,中国国贸,2019-12-19,14.05895808,14.24102792,13.98771336,14.02729376,895658.0,15931909.0,0.0889,-0.0564,0,19.323941,2.432955,5.194241,33.766074,1
sh.600007,中国国贸,2019-12-20,14.00354552,14.21727968,13.97979728,14.07479024,887039.0,15795440.0,0.0881,0.3386,0,19.389372,2.441192,5.211828,33.880406,1
sh.600007,中国国贸,2019-12-23,14.05895808,14.30435656,13.9323008,13.9718812,1170074.0,20850333.0,0.1162,-0.7312,0,19.247605,2.423344,5.173721,33.632687,1
sh.600007,中国国贸,2019-12-24,14.0114616,14.14603496,13.70273448,14.07479024,848370.0,14972862.0,0.0842,0.7366,0,19.389372,2.441192,5.211828,33.880406,1
sh.600007,中国国贸,2019-12-25,14.05895808,14.19353144,13.94021688,14.06687416,1052056.0,18700090.0,0.1044,-0.0562,0,19.378467,2.43982,5.208897,33.861351,1
