code,name,date,open,high,low,close,preclose,volume,amount,turn,pctChg,isST,peTTM,pbMRQ,psTTM,pcfNcfTTM,isTrading
sh.600000,浦发银行,2021-02-01,9.94,10.48,9.9,10.44,9.96,181883788.0,1867280982.5,0.6197,4.8193,0,5.253945,0.600558,1.560497,3.736436,1
sh.600000,浦发银行,2021-02-02,10.35,10.47,10.15,10.22,10.44,131403970.0,1349638624.63,0.4477,-2.1073,0,5.14323,0.587902,1.527613,3.657699,1
sh.600000,浦发银行,2021-02-03,10.19,10.43,10.06,10.26,10.22,131150745.0,1346692050.19,0.4468,0.3914,0,5.16336,0.590203,1.533592,3.672015,1
sh.600000,浦发银行,2021-02-04,10.21,10.41,10.12,10.28,10.26,92016450.0,944124557.52,0.3135,0.1949,0,5.173425,0.591354,1.536581,3.679173,1
sh.600000,浦发银行,2021-02-05,10.28,10.82,10.25,10.72,10.28,195506162.0,2078645790.82,0.6661,4.2802,0,5.394856,0.616665,1.602349,3.836647,1
sh.600000,浦发银行,2021-02-08,10.71,10.81,10.51,10.72,10.72,137089506.0,1467791360.06,0.4671,0.0,0,5.394856,0.616665,1.602349,3.836647,1
sh.600000,浦发银行,2021-02-09,10.7,10.74,10.54,10.68,10.72,99871998.0,1061301526.78,0.3403,-0.3731,0,5.374726,0.614364,1.59637,3.822331,1
sh.600000,浦发银行,2021-02-10,10.67,10.85,10.56,10.69,10.68,105092241.0,1123961356.48,0.358,0.0936,0,5.379758,0.614939,1.597865,3.82591,1
sh.600000,浦发银行,2021-02-18,10.8,11.02,10.74,10.83,10.69,143397923.0,1558504810.59,0.4885,1.3096,0,5.450213,0.622992,1.618791,3.876016,1
sh.600000,浦发银行,2021-02-19,10.83,11.12,10.77,10.97,10.83,122926300.0,1351290390.64,0.4188,1.2927,0,5.520668,0.631046,1.639718,3.926121,1
sh.600000,浦发银行,2021-02-22,10.92,10.95,10.7,10.71,10.97,127379414.0,1373533381.79,0.434,-2.3701,0,5.389823,0.616089,1.600855,3.833068,1
sh.600000,浦发银行,2021-02-23,10.71,10.99,10.71,10.78,10.71,93327786.0,1010901315.55,0.318,0.6536,0,5.425051,0.620116,1.611318,3.858121,1
sh.600000,浦发银行,2021-02-24,10.81,10.89,10.55,10.6,10.78,97783999.0,1047470278.68,0.3331,-1.6698,0,5.334465,0.609762,1.584413,3.7937,1
sh.600000,浦发银行,2021-02-25,10.66,10.85,10.6,10.8,10.6,89855495.0,964732754.71,0.3061,1.8868,0,5.435116,0.621267,1.614307,3.865279,1
sh.600000,浦发银行,2021-02-26,10.72,10.82,10.54,10.54,10.8,85386093.0,909298104.76,0.2909,-2.4074,0,5.30427,0.60631,1.575444,3.772226,1
sh.600004,白云机场,2021-02-01,13.2,13.2,12.41,12.5,13.79,81379082.0,1030455105.18,3.9326,-9.3546,0,543.158343,1.845656,5.36439,-68.417582,1
sh.600004,白云机场,2021-02-02,12.12,12.32,11.28,11.38,12.5,107702587.0,1261330141.43,5.2047,-8.96,0,494.491356,1.680285,4.883741,-62.287367,1
sh.600004,白云机场,2021-02-03,11.23,11.93,11.23,11.73,11.38,62395111.0,731200807.24,3.0152,3.0756,0,509.699789,1.731964,5.033944,-64.203059,1
sh.600004,白云机场,2021-02-04,11.92,12.33,11.7,11.96,11.73,49864403.0,601628660.04,2.4097,1.9608,0,519.693903,1.765924,5.132649,-65.461943,1
sh.600004,白云机场,2021-02-05,12.2,12.49,11.92,12.0,11.96,29264156.0,357401832.78,1.4142,0.3344,0,521.43201,1.77183,5.149815,-65.680879,1
