code,name,isDelisted
sh.600000,浦发银行,False
sh.600001,邯郸钢铁,True
sh.600002,齐鲁石化,True
sh.600003,ST东北高,True
sh.600004,白云机场,False
sh.600005,武钢股份,True
sh.600006,东风股份,False
sh.600007,中国国贸,False
sh.600008,首创环保,False
sh.600009,上海机场,False
sh.600010,包钢股份,False
sh.600011,华能国际,False
sh.600012,皖通高速,False
sh.600015,华夏银行,False
sh.600016,民生银行,False
sh.600017,日照港,False
sh.600018,上港集团,False
sh.600019,宝钢股份,False
sh.600020,中原高速,False
sh.600021,上海电力,False
sh.600022,山东钢铁,False
sh.600023,浙能电力,False
sh.600025,华能水电,False
sh.600026,中远海能,False
sh.600027,华电国际,False
sh.600028,中国石化,False
sh.600029,南方航空,False
sh.600030,中信证券,False
sh.600031,三一重工,False
sh.600032,浙江新能,False
sh.600033,福建高速,False
sh.600035,楚天高速,False
sh.600036,招商银行,False
sh.600037,歌华有线,False
sh.600038,中直股份,False
sh.600039,四川路桥,False
sh.600048,保利发展,False
sh.600050,中国联通,False
sh.600051,宁波联合,False
sh.600052,东望时代,False
sh.600053,九鼎投资,False
sh.600054,黄山旅游,False
sh.600055,万东医疗,False
sh.600056,中国医药,False
sh.600057,厦门象屿,False
sh.600058,五矿发展,False
sh.600059,古越龙山,False
sh.600060,海信视像,False
sh.600061,国投资本,False
sh.600062,华润双鹤,False
sh.600063,皖维高新,False
sh.600064,南京高科,False
sh.600065,*ST联谊,True
sh.600066,宇通客车,False
sh.600067,冠城新材,False
sh.600068,葛洲坝,True
sh.600069,退市银鸽,True
sh.600070,*ST富润,True
sh.600071,凤凰光学,False
sh.600072,中船科技,False
sh.600073,光明肉业,False
sh.600074,退市保千,True
sh.600075,新疆天业,False
sh.600076,康欣新材,False
sh.600077,*ST宋都,True
sh.600078,澄星股份,False
sh.600079,ST人福,False
sh.600080,金花股份,False
sh.600081,东风科技,False
sh.600082,海泰发展,False
sh.600083,*ST博信,True
sh.600084,中信尼雅,False
sh.600085,同仁堂,False
sh.600086,退市金钰,True
sh.600087,退市长油,True
sh.600088,中视传媒,False
sh.600089,特变电工,False
sh.600090,退市济堂,True
sh.600091,退市明科,True
sh.600092,S*ST精密,True
sh.600093,退市易见,True
sh.600094,大名城,False
sh.600095,湘财股份,False
sh.600096,云天化,False
sh.600097,开创国际,False
sh.600098,广州发展,False
sh.600099,林海股份,False
sh.600100,同方股份,False
sh.600101,明星电力,False
sh.600102,莱钢股份,True
sh.600103,青山纸业,False
sh.600104,上汽集团,False
sh.600105,永鼎股份,False
sh.600106,重庆路桥,False
sh.600107,ST尔雅,False
sh.600108,亚盛集团,False
sh.600109,国金证券,False
sh.600110,诺德股份,False
sh.600111,北方稀土,False
sh.600112,*ST天成,True
sh.600113,浙江东日,False
sh.600114,东睦股份,False
sh.600115,中国东航,False
sh.600116,三峡水利,False
sh.600117,西宁特钢,False
sh.600118,中国卫星,False
sh.600119,长江投资,False
sh.600120,浙江东方,False
sh.600121,郑州煤电,False
sh.600122,*ST宏图,True
sh.600123,兰花科创,False
sh.600125,铁龙物流,False
sh.600126,杭钢股份,False
sh.600127,金健米业,False
sh.600128,苏豪弘业,False
sh.600129,太极集团,False
sh.600130,*ST波导,False
sh.600131,国网信通,False
sh.600132,重庆啤酒,False
sh.600133,东湖高新,False
sh.600135,乐凯胶片,False
sh.600136,ST明诚,False
sh.600137,浪莎股份,False
sh.600138,中青旅,False
sh.600139,*ST西源,True
sh.600141,兴发集团,False
sh.600143,金发科技,False
sh.600145,退市新亿,True
sh.600146,退市环球,True
sh.600148,长春一东,False
sh.600149,廊坊发展,False
sh.600150,中国船舶,False
sh.600151,航天机电,False
sh.600152,维科技术,False
sh.600153,建发股份,False
sh.600155,华创云信,False
sh.600156,华升股份,False
sh.600157,永泰能源,False
sh.600158,中体产业,False
sh.600159,大龙地产,False
sh.600160,巨化股份,False
sh.600161,天坛生物,False
sh.600162,香江控股,False
sh.600163,中闽能源,False
sh.600165,ST宁科,False
sh.600166,福田汽车,False
sh.600167,联美控股,False
sh.600168,武汉控股,False
sh.600169,ST太重,False
sh.600170,上海建工,False
sh.600171,上海贝岭,False
sh.600172,黄河旋风,False
sh.600173,卧龙新能,False
sh.600175,退市美都,True
sh.600176,中国巨石,False
sh.600177,雅戈尔,False
sh.600178,东安动力,False
sh.600179,安通控股,False
sh.600180,瑞茂通,False
sh.600181,S*ST云大,True
sh.600182,S佳通,False
sh.600183,生益科技,False
sh.600184,光电股份,False
sh.600185,珠免集团,False
sh.600186,莲花控股,False
sh.600187,国中水务,False
sh.600188,兖矿能源,False
sh.600189,泉阳泉,False
sh.600190,退市锦港,True
sh.600191,华资实业,False
sh.600192,长城电工,False
sh.600193,*ST创兴,False
sh.600195,中牧股份,False
sh.600196,复星医药,False
sh.600197,伊力特,False
sh.600198,大唐电信,False
sh.600199,金种子酒,False
sh.600200,退市苏吴,True
sh.600201,生物股份,False
sh.600202,哈空调,False
sh.600203,福日电子,False
sh.600205,S山东铝,True
sh.600206,有研新材,False
sh.600207,安彩高科,False
sh.600208,衢州发展,False
sh.600209,退市罗顿,True
sh.600210,紫江企业,False
sh.600211,西藏药业,False
sh.600212,绿能慧充,False
sh.600213,*ST亚星,True
sh.600215,派斯林,False
sh.600216,浙江医药,False
sh.600217,中再资环,False
sh.600218,全柴动力,False
sh.600219,南山铝业,False
sh.600220,ST阳光,True
sh.600221,海航控股,False
sh.600222,太龙药业,False
sh.600223,福瑞达,False
sh.600225,退市卓朗,True
sh.600226,亨通股份,False
sh.600227,赤天化,False
sh.600228,*ST返利,False
sh.600229,城市传媒,False
sh.600230,沧州大化,False
sh.600231,凌钢股份,False
sh.600232,金鹰股份,False
sh.600233,圆通速递,False
sh.600234,科新发展,False
sh.600235,民丰特纸,False
sh.600236,桂冠电力,False
sh.600237,铜峰电子,False
sh.600238,*ST椰岛,False
sh.600239,云南城投,False
sh.600240,退市华业,True
sh.600241,时代万恒,False
sh.600242,退市中昌,True
sh.600243,*ST海华,False
sh.600246,万通发展,False
sh.600247,*ST成城,True
sh.600248,陕建股份,False
sh.600249,两面针,False
sh.600250,南京商旅,False
sh.600251,冠农股份,False
sh.600252,中恒集团,False
sh.600253,天方药业,True
sh.600255,鑫科材料,False
sh.600256,广汇能源,False
sh.600257,大湖股份,False
sh.600258,首旅酒店,False
sh.600259,中稀有色,False
sh.600260,*ST凯乐,True
sh.600261,阳光照明,False
sh.600262,北方股份,False
sh.600263,路桥建设,True
sh.600265,ST景谷,False
sh.600266,城建发展,False
sh.600267,海正药业,False
sh.600268,国电南自,False
sh.600269,赣粤高速,False
sh.600270,外运发展,True
sh.600271,航天信息,False
sh.600272,开开实业,False
sh.600273,嘉化能源,False
sh.600275,退市昌鱼,True
sh.600276,恒瑞医药,False
sh.600277,ST亿利,True
sh.600278,东方创业,False
sh.600279,重庆港,False
sh.600280,中央商场,False
sh.600281,华阳新材,False
sh.600282,南钢股份,False
sh.600283,钱江水利,False
sh.600284,浦东建设,False
sh.600285,羚锐制药,False
sh.600286,S*ST国瓷,True
sh.600287,苏豪时尚,False
sh.600288,大恒科技,False
sh.600289,ST信通,False
sh.600290,*ST华仪,True
sh.600291,退市西水,True
sh.600292,电投水电,False
sh.600293,三峡新材,False
sh.600295,鄂尔多斯,False
sh.600296,S兰铝,True
sh.600297,广汇汽车,True
sh.600298,安琪酵母,False
sh.600299,安迪苏,False
sh.600300,维维股份,False
sh.600301,华锡有色,False
sh.600302,标准股份,False
sh.600303,曙光股份,False
sh.600305,恒顺醋业,False
sh.600306,退市商城,True
sh.600307,酒钢宏兴,False
sh.600308,华泰股份,False
sh.600309,万华化学,False
sh.600310,广西能源,False
sh.600311,*ST荣华,True
sh.600312,平高电气,False
sh.600313,农发种业,False
sh.600315,上海家化,False
sh.600316,洪都航空,False
sh.600317,营口港,True
sh.600318,新力金融,False
sh.600319,亚星化学,False
sh.600320,振华重工,False
sh.600321,正源股份,True
sh.600322,津投城开,False
sh.600323,瀚蓝环境,False
sh.600325,华发股份,False
sh.600326,西藏天路,False
sh.600327,大东方,False
sh.600328,中盐化工,False
sh.600329,达仁堂,False
sh.600330,天通股份,False
sh.600331,宏达股份,False
sh.600332,白云山,False
sh.600333,长春燃气,False
sh.600335,国机汽车,False
sh.600336,澳柯玛,False
sh.600337,美克家居,False
sh.600338,西藏珠峰,False
sh.600339,中油工程,False
sh.600340,华夏幸福,False
sh.600343,航天动力,False
sh.600345,长江通信,False
sh.600346,恒力石化,False
sh.600348,华阳股份,False
sh.600350,山东高速,False
sh.600351,亚宝药业,False
sh.600352,浙江龙盛,False
sh.600353,旭光电子,False
sh.600354,敦煌种业,False
sh.600355,*ST精伦,False
sh.600356,恒丰纸业,False
sh.600357,承德钒钛,True
sh.600358,ST联合,False
sh.600359,新农开发,False
sh.600360,*ST华微,False
sh.600361,创新新材,False
sh.600362,江西铜业,False
sh.600363,联创光电,False
sh.600365,ST通葡,False
sh.600366,宁波韵升,False
sh.600367,红星发展,False
sh.600368,五洲交通,False
sh.600369,西南证券,False
sh.600370,三房巷,False
sh.600371,万向德农,False
sh.600372,中航机载,False
sh.600373,中文传媒,False
sh.600375,汉马科技,False
sh.600376,首开股份,False
sh.600377,宁沪高速,False
sh.600378,昊华科技,False
sh.600379,宝光股份,False
sh.600380,健康元,False
sh.600381,*ST春天,False
sh.600382,广东明珠,False
sh.600383,金地集团,False
sh.600385,退市金泰,True
sh.600386,北巴传媒,False
sh.600387,退市海越,True
sh.600388,龙净环保,False
sh.600389,江山股份,False
sh.600390,五矿资本,False
sh.600391,航发科技,False
sh.600392,盛和资源,False
sh.600393,ST粤泰,True
sh.600395,盘江股份,False
sh.600396,华电辽能,False
sh.600397,江钨装备,False
sh.600398,海澜之家,False
sh.600399,抚顺特钢,False
sh.600400,红豆股份,False
sh.600401,退市海润,True
sh.600403,大有能源,False
sh.600405,动力源,False
sh.600406,国电南瑞,False
sh.600408,安泰集团,False
sh.600409,三友化工,False
sh.600410,华胜天成,False
sh.600415,小商品城,False
sh.600416,湘电股份,False
sh.600418,江淮汽车,False
sh.600419,天润乳业,False
sh.600420,国药现代,False
sh.600421,*ST华嵘,False
sh.600422,昆药集团,False
sh.600423,柳化股份,False
