date,cash,portfolio_value,n_positions,n_trades
2023-04-03,100000.0,100000.0,0,0
2023-04-04,100000.0,100000.0,0,0
2023-04-06,6010.219067639206,97935.6157876392,2,2
2023-04-07,6010.219067639206,98987.02031563921,2,0
2023-04-10,6010.219067639206,99461.0379236392,2,0
2023-04-11,445.78389563920564,99170.4541036392,4,2
2023-04-12,93838.35373430309,99679.48899030309,2,2
2023-04-13,4775.784059303085,100229.21951130309,4,2
2023-04-14,1262.0472091550846,98575.54751915506,5,3
2023-04-17,3354.0002091550846,100363.56231815508,4,1
2023-04-18,606.3711541550847,103310.1609381551,5,1
2023-04-19,92127.79977915509,102694.18112215507,3,2
2023-04-20,99943.68218450408,102675.44316450409,1,2
2023-04-21,6145.710034504067,100684.69705450407,3,2
2023-04-24,493.21481840406614,101082.98108040406,4,3
2023-04-25,493.21481840406614,98439.32702140405,4,0
2023-04-26,44735.31803840406,100130.47266040406,3,1
2023-04-27,5099.407371036665,99775.37776303667,3,4
2023-04-28,1919.9175560366657,98346.69471103666,4,3
2023-05-04,1919.9175560366657,99231.57848003665,4,0
2023-05-05,1919.9175560366657,97200.03885603666,4,0
2023-05-08,4644.646214510751,101972.76496651076,4,4
2023-05-09,4626.947463330158,98820.65620133014,3,5
2023-05-10,4626.947463330158,100501.74358533016,3,0
2023-05-11,271.3662793301578,100614.06022733016,5,2
2023-05-12,2228.169500067459,99092.13377606747,5,2
2023-05-15,54847.829334760376,99336.42069476037,3,2
2023-05-16,59053.08427095238,98554.08427095239,1,2
2023-05-17,98265.13179595239,98265.13179595239,0,1
2023-05-18,5163.326498105445,97214.89449210544,2,2
2023-05-19,5163.326498105445,95853.59720010545,2,0
2023-05-22,47582.496758105444,94927.09178310544,1,1
2023-05-23,95190.57610847373,95190.57610847373,0,1
2023-05-24,95190.57610847373,95190.57610847373,0,0
2023-05-25,95190.57610847373,95190.57610847373,0,0
2023-05-26,95190.57610847373,95190.57610847373,0,0
2023-05-29,4893.6265401004275,90108.34242410042,2,2
2023-05-30,42285.91284854442,90646.91284854442,1,1
2023-05-31,42285.91284854442,90098.91284854442,1,0
2023-06-01,2528.1657632674833,90493.52669526747,3,2
2023-06-02,4297.894490142986,92243.92101014298,4,3
2023-06-05,4297.894490142986,93455.09807214298,4,0
2023-06-06,1570.543492259516,94465.50835825953,5,3
2023-06-07,5947.838006197329,96111.56952819733,3,4
2023-06-08,1234.661671197331,97335.76398919732,4,3
2023-06-09,939.9726696842317,97677.04314268424,5,3
2023-06-12,939.9726696842317,97628.78632868422,5,0
2023-06-13,3611.7606187515703,97213.21306175156,5,4
2023-06-14,30604.81928502757,97968.95288502757,2,3
2023-06-15,30604.81928502757,96873.71542502756,2,0
2023-06-16,30604.81928502757,96608.83415502757,2,0
2023-06-19,96420.68832461946,96420.68832461946,0,2
2023-06-20,4891.25891436352,93178.89702636353,2,2
2023-06-21,47657.83468318042,91505.83468318042,1,1
2023-06-26,47657.83468318042,90635.83468318042,1,0
2023-06-27,4662.387568180413,92854.38756818042,2,3
2023-06-28,550.3875681804132,91609.38756818042,4,2
2023-06-29,550.3875681804132,93636.38756818042,4,0
2023-06-30,550.3875681804132,99021.38756818042,4,0
2023-07-03,6234.404473180402,105336.4044731804,3,5
2023-07-04,8368.336473180403,106908.3364731804,2,1
2023-07-05,8368.336473180403,107386.3364731804,2,0
2023-07-06,5366.996673180403,104587.5838531804,3,1
2023-07-07,101280.8542231804,104187.8059631804,1,2
2023-07-10,101280.8542231804,104150.0533431804,1,0
2023-07-11,101280.8542231804,104084.4830031804,1,0
2023-07-12,54884.98488473041,102943.98488473041,1,2
2023-07-13,54884.98488473041,103317.98488473041,1,0
2023-07-14,2888.4982750112686,108680.02272101128,3,2
2023-07-17,58395.00796001127,109696.45658601128,2,1
2023-07-18,58395.00796001127,109266.20386201127,2,0
2023-07-19,108674.38631474158,108674.38631474158,0,2
2023-07-20,108674.38631474158,108674.38631474158,0,0
2023-07-21,108674.38631474158,108674.38631474158,0,0
2023-07-24,108674.38631474158,108674.38631474158,0,0
2023-07-25,108674.38631474158,108674.38631474158,0,0
2023-07-26,6074.641197626785,108011.80585762678,2,2
2023-07-27,6074.641197626785,109722.25439762679,2,0
2023-07-28,6074.641197626785,110559.1146176268,2,0
2023-07-31,984.1137576267847,114179.31983562678,4,2
2023-08-01,5762.053920893333,114890.81498289334,4,4
2023-08-02,5762.053920893333,113321.20711489333,4,0
2023-08-03,10692.345485421334,112126.15071042132,2,2
2023-08-04,112259.20609290132,112259.20609290132,0,2
2023-08-07,112259.20609290132,112259.20609290132,0,0
2023-08-08,112259.20609290132,112259.20609290132,0,0
2023-08-09,112259.20609290132,112259.20609290132,0,0
2023-08-10,112259.20609290132,112259.20609290132,0,0
2023-08-11,112259.20609290132,112259.20609290132,0,0
2023-08-14,9359.578244920878,110960.42627892087,2,2
2023-08-15,9359.578244920878,110188.54759192088,2,0
2023-08-16,56742.41006322588,109002.06162822587,1,1
