date,code,name,buy_price,buy_date,hold_days,current_price,shares,market_value,float_profit,float_profit_pct
2023-04-18,sh.603380,易德龙,22.52916792,2023-04-18,0,22.17156208,800,17737.249664000003,-286.08467199999836,-0.015873015873015782
2023-04-18,sz.002997,瑞鹄模具,23.229528,2023-04-18,0,22.81333229,800,18250.665832000002,-332.95656799999733,-0.017916666666666525
2023-04-18,sh.603378,亚士创能,10.2453138,2023-04-18,0,10.2551556,1800,18459.28008,17.71524000000042,0.0009606147934678423
2023-04-18,sz.002621,*ST美吉,4.05,2023-04-18,0,4.01,4600,18446.0,-184.00000000000017,-0.009876543209876552
2023-04-18,sz.001223,欧克科技,48.96685719,2023-04-18,0,49.40686746,300,14822.060238,132.00308100000058,0.008985879332477575
2023-04-19,sh.603380,易德龙,22.52916792,2023-04-18,1,22.0680446,800,17654.43568,-368.89865599999894,-0.020467836257309885
2023-04-19,sz.002997,瑞鹄模具,23.229528,2023-04-18,1,22.52296319,800,18018.370552,-565.2518479999998,-0.030416666666666658
2023-04-19,sh.603378,亚士创能,10.2453138,2023-04-18,1,9.9795852,1800,17963.253360000002,-478.3114799999986,-0.025936599423631048
2023-04-19,sz.002621,*ST美吉,4.05,2023-04-18,1,3.97,4600,18262.0,-367.9999999999983,-0.019753086419752996
2023-04-19,sz.001223,欧克科技,48.96685719,2023-04-18,1,48.65256414,300,14595.769242,-94.28791499999889,-0.006418485237483879
2023-04-20,sh.603380,易德龙,22.52916792,2023-04-18,2,22.0680446,800,17654.43568,-368.89865599999894,-0.020467836257309885
2023-04-20,sz.002997,瑞鹄模具,23.229528,2023-04-18,2,22.14548336,800,17716.386688,-867.2357119999987,-0.0466666666666666
2023-04-20,sh.603378,亚士创能,10.2453138,2023-04-18,2,9.8122746,1800,17662.09428,-779.4705599999993,-0.042267050912584016
2023-04-20,sz.002621,*ST美吉,4.05,2023-04-18,2,3.89,4600,17894.0,-735.9999999999986,-0.0395061728395061
2023-04-20,sz.001223,欧克科技,48.96685719,2023-04-18,2,46.3058427,300,13891.75281,-798.3043469999998,-0.054343175010697464
2023-04-21,sz.002997,瑞鹄模具,23.229528,2023-04-18,3,21.30341297,800,17042.730376,-1540.8920239999986,-0.0829166666666666
2023-04-21,sh.603378,亚士创能,10.2453138,2023-04-18,3,9.5760714,1800,17236.92852,-1204.6363199999998,-0.0653218059558117
2023-04-21,sz.002621,*ST美吉,4.05,2023-04-18,3,3.78,4600,17388.0,-1242.0,-0.06666666666666668
2023-04-21,sh.603717,天域生物,7.28,2023-04-21,0,6.93,2800,19404.0,-980.0000000000015,-0.04807692307692315
2023-04-21,sz.002762,*ST金比,9.86835024,2023-04-21,0,9.57464934,2000,19149.29868,-587.4017999999985,-0.029761904761904687
2023-04-24,sh.603717,天域生物,7.28,2023-04-21,1,7.07,2800,19796.0,-587.9999999999999,-0.02884615384615384
2023-04-24,sz.002762,*ST金比,9.86835024,2023-04-21,1,9.63338952,2000,19266.779039999998,-469.92144000000025,-0.023809523809523822
2023-04-25,sh.603717,天域生物,7.28,2023-04-21,2,6.83,2800,19124.0,-1260.0000000000005,-0.061813186813186836
2023-04-25,sz.002762,*ST金比,9.86835024,2023-04-21,2,9.35926868,2000,18718.53736,-1018.1631200000005,-0.05158730158730161
2023-04-28,sz.002917,金奥博,9.57895488,2023-04-28,0,10.02812096,3100,31087.174976000002,1392.4148480000038,0.04689092762487271
2023-04-28,sz.002084,海鸥住工,3.96069705,2023-04-28,0,4.03971345,7300,29489.908185,576.8197199999998,0.019950124688279298
2023-04-28,sh.603239,浙江仙通,13.47461475,2023-04-28,0,13.72046737,2100,28812.981477,516.290501999998,0.01824561403508765
2023-05-04,sz.002917,金奥博,9.57895488,2023-04-28,1,10.1062368,3100,31329.334079999997,1634.5739520000002,0.05504587155963304
2023-05-04,sz.002084,海鸥住工,3.96069705,2023-04-28,1,4.03971345,7300,29489.908185,576.8197199999998,0.019950124688279298
2023-05-04,sh.603239,浙江仙通,13.47461475,2023-04-28,1,13.55971758,2100,28475.406917999997,178.71594299999688,0.0063157894736841
2023-05-04,sh.605088,冠盛股份,14.662084,2023-05-04,0,14.4486486,100,1444.8648600000001,-21.343539999999983,-0.014556962025316445
2023-05-04,sz.002995,天地在线,18.77445405,2023-05-04,0,18.26145189,100,1826.145189,-51.30021599999992,-0.02732447817836808
2023-05-05,sz.002917,金奥博,9.57895488,2023-04-28,2,10.2038816,3100,31632.032960000004,1937.272832000004,0.06523955147808372
