date,code,name,action,price,shares,amount,cost,profit,profit_pct,reason,hold_days
2023-04-18,sh.603380,易德龙,BUY,22.52916792,800,18023.334336,1.53198341856,0.0,,SIGNAL,0
2023-04-18,sz.002997,瑞鹄模具,BUY,23.229528,800,18583.6224,1.5796079040000002,0.0,,SIGNAL,0
2023-04-18,sh.603378,亚士创能,BUY,10.2453138,1800,18441.56484,1.5675330114000001,0.0,,SIGNAL,0
2023-04-18,sz.002621,*ST美吉,BUY,4.05,4600,18630.0,1.58355,0.0,,SIGNAL,0
2023-04-18,sz.001223,欧克科技,BUY,48.96685719,300,14690.057157,1.2486548583450001,0.0,,SIGNAL,0
2023-04-21,sh.603380,易德龙,SELL,22.22802616,800,17782.420928,10.40271624288,-252.84810766144074,-0.014027738302227642,SIGNAL_REVERSE,3
2023-04-21,sz.001223,欧克科技,SELL,46.31282699,300,13893.848097,8.127901136745,-805.585615995089,-0.05483417378357521,STOP_LOSS,3
2023-04-21,sh.603717,天域生物,BUY,7.28,2800,20384.0,1.7326400000000002,0.0,,SIGNAL,0
2023-04-21,sz.002762,*ST金比,BUY,9.86835024,2000,19736.70048,1.6776195408,0.0,,SIGNAL,0
2023-04-24,sz.002997,瑞鹄模具,SELL,21.20662327,800,16965.298616,9.92469969036,-1629.8280915943615,-0.08769493551381473,STOP_LOSS,4
2023-04-24,sh.603378,亚士创能,SELL,9.546546,1800,17183.782799999997,10.052512937999998,-1269.4020859494012,-0.06882790082919808,STOP_LOSS,4
2023-04-24,sz.002621,*ST美吉,SELL,3.76,4600,17296.0,10.11816,-1345.7017100000012,-0.072226910095358,STOP_LOSS,4
2023-04-26,sh.603717,天域生物,SELL,6.81,2800,19068.0,11.15478,-1328.887419999999,-0.0651871307971789,STOP_LOSS,3
2023-04-26,sz.002762,*ST金比,SELL,9.35926868,2000,18718.53736,10.950344355599999,-1030.791083896398,-0.052222684087725464,STOP_LOSS,3
2023-04-28,sz.002917,金奥博,BUY,9.57895488,3100,29694.760127999998,2.52405461088,0.0,,SIGNAL,0
2023-04-28,sz.002084,海鸥住工,BUY,3.96069705,7300,28913.088464999997,2.457612519525,0.0,,SIGNAL,0
2023-04-28,sh.603239,浙江仙通,BUY,13.47461475,2100,28296.690975,2.4052187328750003,0.0,,SIGNAL,0
2023-05-04,sh.605088,冠盛股份,BUY,14.662084,100,1466.2084,1.0,0.0,,SIGNAL,0
2023-05-04,sz.002995,天地在线,BUY,18.77445405,100,1877.445405,1.0,0.0,,SIGNAL,0
2023-05-08,sz.002084,海鸥住工,SELL,4.00020525,7300,29201.498324999997,17.082876520124998,268.86937096035035,0.00929843656556027,SIGNAL_REVERSE,3
2023-05-08,sh.603239,浙江仙通,SELL,13.47461475,2100,28296.690975,16.553564220375,-18.958782953250193,-0.0006699430548403454,SIGNAL_REVERSE,3
2023-05-08,sz.002866,传艺科技,BUY,26.75286789,1000,26752.86789,2.27399377065,0.0,,SIGNAL,0
2023-05-08,sz.002192,融捷股份,BUY,66.8661008,400,26746.440319999998,2.2734474272,0.0,,SIGNAL,0
2023-05-09,sz.002917,金奥博,SELL,10.27223296,3100,31843.922176,18.62869447296,2128.0092989161603,0.07165669715219977,HOLD_EXPIRE,4
2023-05-09,sh.600303,曙光股份,BUY,4.81,7400,35594.0,3.02549,0.0,,SIGNAL,0
2023-05-10,sh.605088,冠盛股份,SELL,14.6249648,100,1462.49648,1.73124824,-6.443168239999977,-0.004391447213633712,HOLD_EXPIRE,4
2023-05-10,sz.002995,天地在线,SELL,17.1713223,100,1717.13223,1.858566115,-163.17174111500003,-0.08686530930346631,STOP_LOSS,4
2023-05-10,sz.002030,达安基因,BUY,10.61530665,200,2123.06133,1.0,0.0,,SIGNAL,0
2023-05-10,sh.603585,苏利股份,BUY,15.16098369,100,1516.098369,1.0,0.0,,SIGNAL,0
2023-05-12,sz.002866,传艺科技,SELL,27.5411844,1000,27541.1844,16.111592874,769.9309233553467,0.028776932923774836,HOLD_EXPIRE,4
2023-05-12,sz.002192,融捷股份,SELL,67.24513829,400,26898.055315999998,15.735362359859998,133.60618621293906,0.004994863954005735,HOLD_EXPIRE,4
2023-05-12,sh.603036,如通股份,BUY,9.87628974,2700,26665.982298000003,2.2666084953300003,0.0,,SIGNAL,0
2023-05-12,sh.605128,上海沿浦,BUY,15.74113504,1600,25185.816064,2.14079436544,0.0,,SIGNAL,0
2023-05-15,sh.600303,曙光股份,SELL,4.42,7400,32708.0,19.13418,-2908.159670000001,-0.08169670442877223,STOP_LOSS,4
2023-05-15,sz.002317,众生药业,BUY,16.2039059,2100,34028.20239,2.8923972031500003,0.0,,SIGNAL,0
2023-05-16,sz.002030,达安基因,SELL,10.8301914,200,2166.03828,2.08301914,39.89393086000018,0.018781911000658433,HOLD_EXPIRE,4
2023-05-16,sh.603585,苏利股份,SELL,15.04590981,100,1504.590981,1.7522954904999999,-14.259683490500038,-0.009399313704291536,HOLD_EXPIRE,4
2023-05-16,sz.001283,豪鹏科技,BUY_FAILED_CAPACITY,44.844204,0,0.0,0.0,0.0,,CAPACITY_BLOCKED,0
2023-05-16,sz.002729,好利科技,BUY,18.34519821,100,1834.5198209999999,1.0,0.0,,SIGNAL,0
2023-05-17,sz.002317,众生药业,SELL,17.74883548,2100,37272.554508,21.80444438718,3219.6552764096778,0.09460921832054542,TAKE_PROFIT,2
2023-05-17,sz.002845,同兴达,BUY,13.05521028,1500,19582.815420000003,1.6645393107000004,0.0,,SIGNAL,0
2023-05-17,sh.600183,生益科技,BUY,13.57763308,1400,19008.686312,1.6157383365200002,0.0,,SIGNAL,0
2023-05-18,sh.603036,如通股份,SELL,9.85726028,2700,26614.602756,15.569542612260001,-69.2156931075915,-0.0025954344940410877,HOLD_EXPIRE,4
2023-05-18,sh.605128,上海沿浦,SELL,16.0219084,1600,25635.053440000003,14.996506262400002,432.1000753721637,0.017155026817058182,HOLD_EXPIRE,4
2023-05-18,sz.002845,同兴达,SELL,14.6710032,1500,22006.5048,12.873805308,2409.1510353812955,0.12301327583814425,TAKE_PROFIT,1
2023-05-19,sz.000070,特发信息,BUY,7.3,3300,24090.0,2.04765,0.0,,SIGNAL,0
2023-05-19,sz.002079,苏州固锝,BUY,12.4907094,1900,23732.34786,2.0172495681000004,0.0,,SIGNAL,0
2023-05-19,sh.603800,洪田股份,BUY,23.02200368,1000,23022.00368,1.9568703128000002,0.0,,SIGNAL,0
2023-05-22,sz.002729,好利科技,SELL,18.98087373,100,1898.0873729999998,1.9490436865,60.61850831349989,0.033025254001601924,HOLD_EXPIRE,4
