date,cash,portfolio_value,n_positions,n_trades
2023-01-03,24446.32609549444,1030751.2483314945,5,5
2023-01-04,33166.7294870707,1039594.7658810708,5,10
2023-01-05,25289.58333600388,1033129.8946270039,3,8
2023-01-06,15988.920574349788,1040272.9946883498,5,6
2023-01-09,16319.812908792577,1002492.4095787926,5,8
2023-01-10,17350.79161940716,1012313.5888194072,5,8
2023-01-11,22687.550698614097,1086943.5506986142,1,6
2023-01-12,1052484.7666986142,1052484.7666986142,0,1
2023-01-13,1052484.7666986142,1052484.7666986142,0,0
2023-01-16,23835.196697525535,1087180.3691805257,5,5
2023-01-17,1108521.1989372652,1108521.1989372652,0,5
2023-01-18,22378.280507914256,1119146.4892819142,1,1
2023-01-19,23689.433446670242,1128170.4725506702,5,6
2023-01-20,23541.420217204373,1136959.0242622045,5,10
2023-01-30,1145626.9615959986,1145626.9615959986,0,5
2023-01-31,23839.281663431582,1155008.5934294316,5,5
2023-02-01,24557.7189453732,1192083.0237793732,5,10
2023-02-02,25850.25985659563,1172529.8944185956,5,10
2023-02-03,28076.61074760536,1159844.0013626053,5,10
2023-02-06,23627.7366858006,1143348.7366858006,1,6
2023-02-07,1254636.1752208006,1254636.1752208006,0,1
2023-02-08,1254636.1752208006,1254636.1752208006,0,0
2023-02-09,1254636.1752208006,1254636.1752208006,0,0
2023-02-10,1254636.1752208006,1254636.1752208006,0,0
2023-02-13,1254636.1752208006,1254636.1752208006,0,0
2023-02-14,1254636.1752208006,1254636.1752208006,0,0
2023-02-15,1254636.1752208006,1254636.1752208006,0,0
2023-02-16,1254636.1752208006,1254636.1752208006,0,0
2023-02-17,1254636.1752208006,1254636.1752208006,0,0
2023-02-20,25221.683870800538,1254531.6838708005,1,1
2023-02-21,1317360.3402958005,1317360.3402958005,0,1
2023-02-22,1317360.3402958005,1317360.3402958005,0,0
2023-02-23,1317360.3402958005,1317360.3402958005,0,0
2023-02-24,1317360.3402958005,1317360.3402958005,0,0
2023-02-27,26411.6189808005,1317250.6189808005,1,1
2023-02-28,26411.6189808005,1382062.6189808005,1,0
2023-03-01,26411.6189808005,1452275.6189808005,1,0
2023-03-02,26411.6189808005,1522488.6189808005,1,0
2023-03-03,26411.6189808005,1598102.6189808005,1,0
2023-03-06,1678150.7859708006,1678150.7859708006,0,1
2023-03-07,33528.004915800644,1678011.0049158006,1,1
2023-03-08,33528.004915800644,1678011.0049158006,1,0
2023-03-09,33528.004915800644,1678011.0049158006,1,0
2023-03-10,33528.004915800644,1678011.0049158006,1,0
2023-03-13,1758969.0310808006,1758969.0310808006,0,1
2023-03-14,1758969.0310808006,1758969.0310808006,0,0
2023-03-15,1758969.0310808006,1758969.0310808006,0,0
2023-03-16,1758969.0310808006,1758969.0310808006,0,0
2023-03-17,1758969.0310808006,1758969.0310808006,0,0
2023-03-20,1758969.0310808006,1758969.0310808006,0,0
2023-03-21,1758969.0310808006,1758969.0310808006,0,0
2023-03-22,1758969.0310808006,1758969.0310808006,0,0
2023-03-23,1758969.0310808006,1758969.0310808006,0,0
2023-03-24,1758969.0310808006,1758969.0310808006,0,0
2023-03-27,1758969.0310808006,1758969.0310808006,0,0
2023-03-28,1758969.0310808006,1758969.0310808006,0,0
2023-03-29,1758969.0310808006,1758969.0310808006,0,0
2023-03-30,1758969.0310808006,1758969.0310808006,0,0
2023-03-31,1758969.0310808006,1758969.0310808006,0,0
2023-04-03,1758969.0310808006,1758969.0310808006,0,0
