date,代码,名称,action,price,shares,amount,cost,profit
2023-01-03,sz.002235,安妮股份,BUY,8.15,24000,195600.0,16.626,0.0
2023-01-03,sh.601872,招商轮船,BUY,5.0241632,39000,195942.3648,16.655101008000003,0.0
2023-01-03,sz.002756,永兴材料,BUY,60.569856,3200,193823.5392,16.475000832000003,0.0
2023-01-03,sh.600026,中远海能,BUY,11.17147214,17500,195500.76245,16.617564808250002,0.0
2023-01-03,sh.600734,实达集团,BUY,3.65,53600,195640.0,16.6294,0.0
2023-01-04,sz.002235,安妮股份,SELL,8.97,24000,215280.00000000003,125.93880000000001,19537.435200000036
2023-01-04,sz.002756,永兴材料,SELL,61.15478625,3200,195695.316,114.48175986,1740.8200393080187
2023-01-04,sh.600026,中远海能,SELL,11.49676459,17500,201193.380325,117.698127490125,5558.302182701649
2023-01-04,sh.601872,招商轮船,SELL,5.158739,39000,201190.821,117.696630285,5114.104468706995
2023-01-04,sh.603613,国联股份,BUY,61.15726239,3300,201818.965887,17.154612100395003,0.0
2023-01-04,sh.600246,万通发展,BUY,6.46,31700,204782.0,17.406470000000002,0.0
2023-01-04,sh.600522,中天科技,BUY,16.18008768,12600,203869.104768,17.328873905280002,0.0
2023-01-04,sh.603399,永杉锂业,BUY,13.82740236,14800,204645.554928,17.394872168880003,0.0
2023-01-05,sh.600522,中天科技,SELL,15.56662464,12600,196139.470464,114.74159022144,-7861.704768126685
2023-01-05,sh.600734,实达集团,SELL,4.25,53600,227800.0,133.263,32010.107600000018
2023-01-05,sh.603613,国联股份,SELL,61.65882921,3300,203474.136393,119.032369789905,1518.9835241097317
2023-01-05,sh.603399,永杉锂业,SELL,13.48991346,14800,199650.719208,116.79567073668,-5129.026262905536
2023-01-05,sh.600246,万通发展,SELL,6.5,31700,206050.0,120.53925000000001,1130.0542800000112
2023-01-06,sh.603029,天鹅股份,BUY,28.05075917,12200,342219.261874,29.088637259290003,0.0
2023-01-06,sz.002095,生意宝,BUY,24.1671626,14200,343173.70892,29.1697652582,0.0
2023-01-06,sz.000610,西安旅游,BUY,16.58,20700,343205.99999999994,29.172509999999996,0.0
2023-01-09,sz.000610,西安旅游,SELL,16.66,20700,344862.0,201.74427,1425.0832200000877
2023-01-09,sz.002095,生意宝,SELL,23.4038847,14200,332335.16274,194.41607020290002,-11062.132015461044
2023-01-09,sh.603029,天鹅股份,SELL,27.55385444,12200,336157.024168,196.65185913828,-6287.978202397586
2023-01-10,sh.603029,天鹅股份,BUY,27.281044,7400,201879.7256,17.159776676000003,0.0
2023-01-10,sz.002875,安奈儿,BUY,25.35,8000,202800.0,17.238,0.0
